estacion,fecha,precip,lag1,lag2,lag3,mm3,mm7,mes,extremo
52045020,1979-01-08,0.0,0.6,0.0,0.8,0.19999999999999998,0.5571428571428572,1,0
52045020,1979-01-09,0.3,0.0,0.6,0.0,0.3,0.4857142857142857,1,0
52045020,1979-01-10,0.2,0.3,0.0,0.6,0.16666666666666666,0.41428571428571426,1,0
52045020,1979-01-11,0.8,0.2,0.3,0.0,0.43333333333333335,0.38571428571428573,1,0
52045020,1979-01-12,0.9,0.8,0.2,0.3,0.6333333333333333,0.39999999999999997,1,0
52045020,1979-01-13,0.3,0.9,0.8,0.2,0.6666666666666666,0.4428571428571429,1,0
52045020,1979-01-14,0.8,0.3,0.9,0.8,0.6666666666666666,0.4714285714285714,1,0
52045020,1979-01-15,0.1,0.8,0.3,0.9,0.4000000000000001,0.4857142857142857,1,0
52045020,1979-01-16,0.5,0.1,0.8,0.3,0.4666666666666666,0.5142857142857143,1,0
52045020,1979-01-17,0.9,0.5,0.1,0.8,0.5,0.6142857142857142,1,0
52045020,1979-01-18,1.0,0.9,0.5,0.1,0.7999999999999999,0.6428571428571429,1,0
52045020,1979-01-19,0.5,1.0,0.9,0.5,0.7999999999999999,0.5857142857142856,1,0
52045020,1979-01-20,0.9,0.5,1.0,0.9,0.7999999999999999,0.6714285714285715,1,0
52045020,1979-01-21,0.7,0.9,0.5,1.0,0.7000000000000001,0.6571428571428573,1,0
52045020,1979-01-22,0.2,0.7,0.9,0.5,0.6,0.6714285714285714,1,0
52045020,1979-01-23,0.6,0.2,0.7,0.9,0.5,0.6857142857142857,1,0
52045020,1979-01-24,0.9,0.6,0.2,0.7,0.5666666666666667,0.6857142857142857,1,0
52045020,1979-01-25,0.8,0.9,0.6,0.2,0.7666666666666666,0.6571428571428573,1,0
52045020,1979-01-26,0.1,0.8,0.9,0.6,0.6,0.6,1,0
52045020,1979-01-27,0.1,0.1,0.8,0.9,0.3333333333333333,0.4857142857142857,1,0
52045020,1979-01-28,0.5,0.1,0.1,0.8,0.2333333333333333,0.4571428571428572,1,0
52045020,1979-01-29,0.1,0.5,0.1,0.1,0.2333333333333333,0.4428571428571429,1,0
52045020,1979-01-30,0.9,0.1,0.5,0.1,0.5,0.4857142857142857,1,0
52045020,1979-01-31,0.7,0.9,0.1,0.5,0.5666666666666665,0.4571428571428572,1,0
52045020,1979-02-01,0.6,0.7,0.9,0.1,0.7333333333333334,0.42857142857142855,2,0
52045020,1979-02-02,0.5,0.6,0.7,0.9,0.6,0.4857142857142857,2,0
52045020,1979-02-03,0.8,0.5,0.6,0.7,0.6333333333333333,0.5857142857142856,2,0
52045020,1979-02-04,0.9,0.8,0.5,0.6,0.7333333333333333,0.6428571428571429,2,0
52045020,1979-02-05,0.8,0.9,0.8,0.5,0.8333333333333334,0.7428571428571429,2,0
52045020,1979-02-06,0.8,0.8,0.9,0.8,0.8333333333333334,0.7285714285714285,2,0
52045020,1979-02-07,0.9,0.8,0.8,0.9,0.8333333333333334,0.7571428571428571,2,0
52045020,1979-02-08,0.9,0.9,0.8,0.8,0.8666666666666667,0.8,2,0
52045020,1979-02-09,0.9,0.9,0.9,0.8,0.9,0.8571428571428571,2,0
52045020,1979-02-10,0.7,0.9,0.9,0.9,0.8333333333333334,0.8428571428571429,2,0
52045020,1979-02-11,0.0,0.7,0.9,0.9,0.5333333333333333,0.7142857142857143,2,0
52045020,1979-02-12,0.6,0.0,0.7,0.9,0.4333333333333333,0.6857142857142858,2,0
52045020,1979-02-13,0.7,0.6,0.0,0.7,0.4333333333333333,0.6714285714285714,2,0
52045020,1979-02-14,0.4,0.7,0.6,0.0,0.5666666666666665,0.6,2,0
52045020,1979-02-15,0.6,0.4,0.7,0.6,0.5666666666666665,0.557142857142857,2,0
52045020,1979-02-16,0.2,0.6,0.4,0.7,0.39999999999999997,0.45714285714285713,2,0
52045020,1979-02-17,0.0,0.2,0.6,0.4,0.2666666666666666,0.35714285714285715,2,0
52045020,1979-02-18,0.4,0.0,0.2,0.6,0.19999999999999996,0.41428571428571426,2,0
52045020,1979-02-19,0.6,0.4,0.0,0.2,0.3333333333333333,0.41428571428571426,2,0
52045020,1979-02-20,0.7,0.6,0.4,0.0,0.5666666666666667,0.4142857142857143,2,0
52045020,1979-02-21,0.6,0.7,0.6,0.4,0.6333333333333333,0.4428571428571428,2,0
52045020,1979-02-22,0.6,0.6,0.7,0.6,0.6333333333333333,0.4428571428571429,2,0
52045020,1979-02-23,0.4,0.6,0.6,0.7,0.5333333333333333,0.4714285714285714,2,0
52045020,1979-02-24,0.6,0.4,0.6,0.6,0.5333333333333333,0.5571428571428572,2,0
52045020,1979-02-25,0.7,0.6,0.4,0.6,0.5666666666666667,0.6,2,0
52045020,1979-02-26,0.2,0.7,0.6,0.4,0.49999999999999994,0.5428571428571428,2,0
52045020,1979-02-27,0.2,0.2,0.7,0.6,0.3666666666666667,0.4714285714285714,2,0
52045020,1979-02-28,0.5,0.2,0.2,0.7,0.3,0.4571428571428572,2,0
52045020,1979-03-01,0.5,0.5,0.2,0.2,0.39999999999999997,0.4428571428571429,3,0
52045020,1979-03-02,0.1,0.5,0.5,0.2,0.3666666666666667,0.4,3,0
52045020,1979-03-03,0.4,0.1,0.5,0.5,0.3333333333333333,0.37142857142857144,3,0
52045020,1979-03-04,0.5,0.4,0.1,0.5,0.3333333333333333,0.34285714285714286,3,0
52045020,1979-03-05,0.3,0.5,0.4,0.1,0.39999999999999997,0.35714285714285715,3,0
52045020,1979-03-06,0.3,0.3,0.5,0.4,0.3666666666666667,0.37142857142857144,3,0
52045020,1979-03-07,0.0,0.3,0.3,0.5,0.19999999999999998,0.3,3,0
52045020,1979-03-08,0.0,0.0,0.3,0.3,0.09999999999999999,0.2285714285714286,3,0
52045020,1979-03-09,0.7,0.0,0.0,0.3,0.2333333333333333,0.31428571428571433,3,0
52045020,1979-03-10,0.9,0.7,0.0,0.0,0.5333333333333333,0.38571428571428573,3,0
52045020,1979-03-11,0.2,0.9,0.7,0.0,0.6,0.34285714285714286,3,0
